simplified,radical,level,frequency,pos,pinyin,meanings,count
宣言,宀,7,7322,n,xuān yán,"declaration,manifesto",1
宣扬,宀,7,11582,v,xuān yáng,to publicize; to advertise; to spread far and wide,1
喧哗,口,7,24091,v,xuān huá,"hubbub,clamor,to make a racket",1
喧闹,口,7,19046,v,xuān nào,"to make a noise,noisy",1
玄,玄,7,10533,a,xuán,"black,mysterious",1
玄机,玄,7,24532,n,xuán jī,"profound theory (in Daoism and Buddhism),mysterious principles",1
悬,心,7,7493,v,xuán,"to hang or suspend,to worry,public announcement,unresolved,baseless,without foundation",1
悬挂,心,7,14021,v,xuán guà,"to suspend,to hang,(vehicle) suspension",1
悬念,心,7,11315,n,xuán niàn,"suspense in a movie, play etc,concern for sb's welfare",1
悬殊,心,7,20622,a,xuán shū,"widely different,large disparity",1
悬崖,心,7,10937,n,xuán yá,"precipice,overhanging cliff",1
悬崖峭壁,心,6,48736,l,xuán yá qiào bì,sheer cliffs and precipitous rock faces (idiom),1
旋律,方,7,8207,n,xuán lǜ,melody,1
旋涡,方,7,37673,n,xuán wō,"spiral,whirlpool,eddy,vortex",1
旋转,方,6,5279,v,xuán zhuǎn,"to rotate,to revolve,to spin,to whirl",1
选,辶,3,590,v,xuǎn,"to choose,to pick,to select,to elect",1
选拔,辶,6,7832,v,xuǎn bá,to select the best,1
选举,辶,7,3104,v,xuǎn jǔ,"to elect,election",1
选民,辶,7,9017,n,xuǎn mín,"voter,constituency,electorate",1
选手,辶,5,1025,n,xuǎn shǒu,"athlete,contestant",1
选项,辶,7,11774,n,xuǎn xiàng,"option; alternative; choice,to choose a project",1
选修,辶,6,26976,v,xuǎn xiū,"(at a school) to take as an elective,an elective,elective (subject)",1
选用,辶,7,15557,v,xuǎn yòng,"to choose for some purpose,to select and use",1
选择,辶,3,373,v,xuǎn zé,"to select,to pick,choice,option,alternative",1
炫耀,火,7,7910,v,xuàn yào,"dazzling,to show off,to flaunt",1
削,刂,7,9051,v,xiāo,"to peel with a knife,to pare,to cut (a ball at tennis etc)",2
削弱,刂,7,11259,v,xuē ruò,"to weaken,to impair,to cripple",1
靴子,革,7,7637,n,xuē zi,boots,1
穴位,穴,7,22704,n,xué wèi,"acupuncture point,location of a grave",1
学,子,1,524,v,xué,"to learn,to study,to imitate,science,-ology",1
学费,子,4,6307,n,xué fèi,"tuition fee,tuition",1
学分,子,5,15668,n,xué fēn,course credit,1
学会,子,6,1893,v,xué huì,"to learn,to master,institute,learned society,(scholarly) association",1
学科,子,5,11598,n,xué kē,"subject,branch of learning,course,academic discipline",1
学历,子,5,9089,n,xué lì,"educational background,academic qualifications",1
学年,子,5,19939,n,xué nián,academic year,1
学期,子,3,5859,n,xué qī,"term,semester",1
学生,子,1,651,n,xué sheng,"student,schoolchild",1
学时,子,4,52820,n,xué shí,"class hour,period",1
学士,子,7,17708,n,xué shì,"bachelor's degree,person holding a university degree",1
学术,子,5,6632,n,xué shù,"learning,science,academic",1
学说,子,7,17578,n,xué shuō,"theory,doctrine",1
学堂,子,7,31575,n,xué táng,"college,school (old)",1
学位,子,6,6034,n,xué wèi,"academic degree,place in school",1
学问,子,6,14605,n,xué wèn,"learning,knowledge",1
学习,子,1,789,v,xué xí,"to learn,to study",1
学校,子,1,430,n,xué xiào,school,1
学业,子,7,9622,n,xué yè,"studies,schoolwork",1
学艺,子,7,34339,v,xué yì,to learn a skill or art,1
学员,子,6,7156,n,xué yuán,"student,member of an institution of learning,officer cadet",1
学院,子,4,2360,n,xué yuàn,"college,educational institute,school,faculty",1
学者,子,5,5241,n,xué zhě,scholar,1
学子,子,7,37016,n,xué zǐ,"(literary) student,scholar",1
雪,雨,1,1971,n,Xuě,surname Xue,2
雪山,雨,7,11115,n,xuě shān,snow-capped mountain,1
雪上加霜,雨,7,19891,v,xuě shàng jiā shuāng,"(idiom) to make matters even worse,to add insult to injury",1
血,血,4,726,n,xuè,"blood,colloquial pr. [xiě]",1
血管,血,6,4071,n,xuè guǎn,"vein,artery",1
血脉,血,7,16612,n,xuè mài,blood vessels,1
血栓,血,7,16211,n,xuè shuān,"blood clot,thrombus",1
血压,血,6,5637,n,xuè yā,blood pressure,1
血液,血,6,2736,n,xuè yè,blood,1
血缘,血,7,14542,n,xuè yuán,bloodline,1
勋章,力,7,3956,n,xūn zhāng,"medal,decoration",1
熏,灬,7,7339,v,xūn,"to smoke,to fumigate,to assail the nostrils,to perfume",3
熏陶,灬,7,25457,vn,xūn táo,"to seep in,to influence,to nurture,influence,training",1
寻,彐,7,3606,v,xún,"to search,to look for,to seek",1
寻常,彐,7,6708,a,xún cháng,"usual,common,ordinary",1
寻觅,彐,7,14135,v,xún mì,to look for,1
寻求,彐,6,3808,v,xún qiú,to seek; to look for,1
寻找,彐,5,1444,v,xún zhǎo,to seek; to look for,1
巡逻,巛,7,5903,v,xún luó,"to patrol (police, army or navy)",1
驯,马,7,11376,v,xùn,"to attain gradually,to tame,Taiwan pr. [xún]",1
询问,讠,5,3515,v,xún wèn,to inquire,1
循环,彳,6,4192,vn,xún huán,"to cycle,to circulate,circle,loop",1
循序渐进,彳,7,25628,v,xún xù jiàn jìn,"in sequence, step by step (idiom); to make steady progress incrementally",1
迅速,辶,5,2524,ad,xùn sù,"rapid,speedy,fast",1
逊色,辶,7,25216,a,xùn sè,"inferior (often in the combination 毫无逊色, not in the least inferior)",1
训,讠,7,5758,v,xùn,"to teach,to train,to admonish,instruction (from superiors),teachings,rule",1
训练,讠,5,985,vn,xùn liàn,"to train,to drill,training",1
丫头,丨,7,6329,n,yā tou,"girl,servant girl,(used deprecatingly, but sometimes also as a term of endearment)",1
压,厂,4,1672,v,yā,"to press,to push down,to keep under (control),pressure",2
压倒,厂,7,15711,v,yā dǎo,"to overwhelm,to overpower,overwhelming",1
压力,厂,4,981,n,yā lì,pressure,1
压迫,厂,7,7597,vn,yā pò,"to oppress,to repress,to constrict,oppression,stress (physics)",1
压岁钱,厂,5,30823,n,yā suì qián,money given to children as a gift on Chinese New Year's Eve,1
压缩,厂,6,11394,v,yā suō,to compress; compression,1
压抑,厂,7,6607,v,yā yì,"to constrain or repress emotions,oppressive,stifling,depressing,repression",1
压榨,厂,7,20212,v,yā zhà,"to press,to squeeze,to extract juice, oil etc by squeezing",1
压制,厂,7,8746,,yā zhì,"to suppress,to inhibit,to stifle",1
押,扌,7,5343,v,yā,"to mortgage,to pawn,to detain in custody,to escort and protect,(literary) to sign",1
押金,扌,5,17113,n,yā jīn,"deposit,down payment",1
鸦雀无声,鸟,7,43787,v,yā què wú shēng,"lit. crow and peacock make no sound,absolute silence (idiom); not a single voice can be heard,absolute silence",1
鸭子,鸟,5,8269,n,yā zi,"duck,male prostitute (slang)",1
牙,牙,3,2506,n,yá,"tooth,ivory",1
牙齿,牙,5,4626,n,yá chǐ,"tooth,dental",1
牙膏,牙,4,9450,n,yá gāo,toothpaste,1
牙刷,牙,3,12849,n,yá shuā,toothbrush,1
芽,艹,7,12443,n,yá,"bud,sprout",1
哑,口,7,12656,v,yā,"(onom.) sound of cawing,sound of infant learning to talk,variant of 呀",2
亚军,一,6,11554,n,yà jūn,"second place (in a sports contest),runner-up",1
亚运会,一,4,25188,n,Yà yùn huì,Asian Games,1
亚洲,一,4,3164,ns,Yà zhōu,Asia (abbr. for 亚细亚洲),1
呀,口,5,432,y,ya,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)",1
烟,火,4,2110,n,yān,"cigarette or pipe tobacco,smoke,mist,vapour,tobacco plant,(of the eyes) to be irritated by smoke",1
烟囱,火,7,15613,n,yān cōng,chimney,1
烟花,火,7,7136,n,yān huā,"fireworks,prostitute (esp. in Yuan theater)",1
烟火,火,7,14459,n,yān huǒ,"smoke and fire,fireworks",1
淹,氵,6,13011,v,yān,"to flood,to submerge,to drown,to irritate the skin (of liquids),to delay",1
淹没,氵,6,10092,v,yān mò,"to submerge,to drown,to flood,to drown out (also fig.)",1
延,廴,7,7305,g,Yán,surname Yan,2
延缓,廴,7,14949,v,yán huǎn,"to defer,to postpone,to put off,to retard,to slow sth down",1
延期,廴,6,10510,v,yán qī,"to delay,to extend,to postpone,to defer",1
延伸,廴,6,7357,v,yán shēn,"to extend,to spread",1
延误,廴,7,12237,v,yán wu,"to delay,to be held up,to miss (an opportunity),delay,holdup",1
延续,廴,6,6017,v,yán xù,"to continue,to go on,to last",1
延长,廴,5,5928,v,Yán cháng,"Yanchang county in Yan'an 安, Shaanxi",2
严,一,6,5871,a,Yán,surname Yan,2
严格,一,4,2279,a,yán gé,"strict,stringent,tight,rigorous",1
严寒,一,6,21390,an,yán hán,"bitter cold,severe winter",1
严谨,一,7,12950,a,yán jǐn,"rigorous; strict; careful,(of writing) well organized; meticulous",1
严禁,一,6,12452,v,yán jìn,to strictly prohibit,1
严峻,一,7,9120,a,yán jùn,"grim,severe,rigorous",1
严厉,一,6,5614,a,yán lì,"severe,strict",1
严密,一,7,8320,a,yán mì,"strict,tight (organization, surveillance etc)",1
严肃,一,5,3552,a,yán sù,"solemn,grave,serious,earnest,severe",1
严重,一,4,785,a,yán zhòng,"grave,serious,severe,critical",1
言辞,言,7,16596,n,yán cí,"words,expression,what one says",1
言论,言,7,6492,n,yán lùn,"expression of opinion,views,remarks,arguments",1
言行,言,7,12249,n,yán xíng,"words and actions,what one says and what one does",1
言语,言,6,6771,n,yán yǔ,"words,speech,(spoken) language",2
岩石,山,7,7234,n,yán shí,rock,1
沿,氵,5,4970,p,yán,"along,to follow (a line, tradition etc),to carry on,to trim (a border with braid, tape etc),border,edge",1
沿岸,氵,7,17154,f,yán àn,"coastal area,littoral or riparian",1
沿海,氵,6,25696,f,yán hǎi,coastal,1
沿途,氵,7,15332,d,yán tú,"along the sides of the road,by the wayside",1
沿线,氵,7,37401,f,yán xiàn,"along the line (e.g. railway),the region near the line",1
沿着,氵,6,4043,p,yán zhe,"to go along,to follow",1
炎热,火,6,14826,a,yán rè,"blistering hot,sizzling hot (weather)",1
炎症,火,6,14732,n,yán zhèng,inflammation,1
研发,石,5,6428,v,yán fā,"research and development,to develop",1
研究,石,4,582,vn,yán jiū,"research,a study,to research,to look into",1
研究生,石,4,7033,n,yán jiū shēng,"graduate student,postgraduate student,research student",1
研究所,石,5,7271,n,yán jiū suǒ,"research institute,graduate studies,graduate school",1
研讨,石,6,22210,vn,yán tǎo,discussion,1
研制,石,5,8797,v,yán zhì,to research and manufacture; to research and to develop,1
盐,皿,4,3653,n,yán,salt,1
阎王,门,7,27587,n,Yán wáng,"(Buddhism) Yama, the King of Hell,(fig.) cruel and tyrannical person",1
颜色,页,2,1880,n,yán sè,"color,countenance,appearance,facial expression,pigment,dyestuff",1
衍生,行,7,20747,v,yǎn shēng,"to give rise to,to derive,derivative,derivation",1
掩盖,扌,7,6257,v,yǎn gài,"to conceal,to hide behind,to cover up",1
掩护,扌,7,7317,v,yǎn hù,"to screen,to shield,to cover,protection,cover",1
掩饰,扌,7,6255,v,yǎn shì,"to cover up,to conceal,to mask,to gloss over",1
眼,目,5,762,n,yǎn,"eye,small hole,crux (of a matter),classifier for big hollow things (wells, stoves, pots etc)",1
眼光,目,6,5024,n,yǎn guāng,"gaze,insight,foresight,vision,way of looking at things",1
眼红,目,7,25358,v,yǎn hóng,"to covet,envious,jealous,green with envy,infuriated,furious",1
眼界,目,7,16720,n,yǎn jiè,"ken,scope",1
眼镜,目,4,3998,n,yǎn jìng,"spectacles,eyeglasses",1
眼睛,目,2,814,n,yǎn jing,eye,1
眼看,目,6,9160,v,yǎn kàn,"soon,in a moment,to look on as sth happens",1
眼泪,目,5,3450,n,yǎn lèi,"tears,crying",1
眼里,目,4,4213,s,yǎnli,In the eyes,1
眼前,目,4,2549,s,yǎn qián,"before one's eyes,now,at present",1
眼色,目,7,20729,n,yǎn sè,"signal made with one's eyes,meaningful glance",1
眼神,目,7,2911,n,yǎn shén,"expression or emotion showing in one's eyes,meaningful glance,wink,eyesight (dialect)",1
眼下,目,7,6919,t,yǎn xià,"now,at present,subocular (medicine)",1
演,氵,4,1613,v,yǎn,"to develop,to evolve,to practice,to perform,to play,to act",1
演变,氵,7,9829,v,yǎn biàn,"to develop,to evolve,development,evolution",1
演播室,氵,7,17796,n,yǎn bō shì,broadcasting studio,1
演唱,氵,4,3897,v,yǎn chàng,"sung performance,to sing for an audience",1
演唱会,氵,3,3862,n,yǎn chàng huì,vocal recital or concert,1
演出,氵,4,1568,v,yǎn chū,"to act (in a play),to perform,to put on (a performance),performance,concert,show",1
演技,氵,7,9630,n,yǎn jì,"acting,performing skills",1
演讲,氵,5,3526,vn,yǎn jiǎng,"lecture,to make a speech",1
演练,氵,7,13826,v,yǎn liàn,"to do a drill,to practice,training,drill",1
演示,氵,7,8584,v,yǎn shì,"to demonstrate,to show,presentation,demonstration",1
演说,氵,7,10349,vn,yǎn shuō,"speech,to deliver a speech",1
演习,氵,7,6261,vn,yǎn xí,"maneuver,exercise,practice,to maneuver",1
演戏,氵,7,8399,v,yǎn xì,"to put on a play,to perform,fig. to pretend,to feign",1
演艺圈,氵,7,16822,n,yǎn yì quān,show business,1
演绎,氵,7,5431,v,yǎn yì,"(of a story etc) to unfold,to play out,to develop (a technique etc),to enact,(logic) to deduce,to infer",1
演员,氵,4,1643,n,yǎn yuán,"actor or actress,performer",1
演奏,氵,6,6261,v,yǎn zòu,to perform on a musical instrument,1
厌恶,厂,7,7894,v,yàn wù,"to loathe,to hate,disgusted with sth",1
厌烦,厂,7,13120,v,yàn fán,bored; fed up with sth; sick of sth,1
厌倦,厂,7,7767,v,yàn juàn,to be weary of; to be fed up with; to be bored with,1
咽,口,7,9313,v,yān,"throat; pharynx,narrow pass",4
咽喉,口,7,15508,n,yān hóu,throat,1
宴会,宀,6,6859,n,yàn huì,"banquet,feast,dinner party",1
艳丽,色,7,26439,a,yàn lì,"gorgeous,garish and beautiful",1
验,马,7,7908,v,yàn,variant of 验,2
验收,马,7,18985,v,yàn shōu,"to inspect and accept,acceptance",1
验证,马,6,7174,v,yàn zhèng,"to inspect and verify,experimental verification,to validate (a theory),to authenticate",1
焰火,火,7,18440,n,yàn huǒ,fireworks,1
燕子,灬,7,18534,n,yàn zi,swallow,1
秧歌,禾,7,34752,,yāng ge,"Yangge, a popular rural folk dance",1
扬,扌,7,6047,g,Yáng,"abbr. for 扬州,surname Yang",3
羊,羊,3,2574,n,Yáng,surname Yang,2
羊肉,羊,2,11336,n,yáng ròu,"mutton,goat meat",1
阳光,阝,4,2043,n,yáng guāng,"sunshine,(of personality) upbeat; energetic,transparent (open to public scrutiny)",1
阳台,阝,5,6690,n,yáng tái,variant of 阳台,2
阳性,阝,7,6067,n,yáng xìng,"positive,masculine",1
杨树,木,7,43758,n,yáng shù,"poplar tree,various trees of genus Populus",1
洋,氵,6,5778,g,yáng,"ocean,vast,foreign,silver dollar or coin",1
洋溢,氵,7,22369,v,yáng yì,"brimming with,steeped in",1
仰,亻,6,11544,v,Yǎng,surname Yang,2
养,丷,3,1346,v,yǎng,"to raise (animals),to bring up (children),to keep (pets),to support,to give birth",1
养成,丷,4,13078,v,yǎng chéng,"to cultivate,to raise,to form (a habit),to acquire",1
养活,丷,7,11652,v,yǎng huo,"to provide for,to keep (animals, a family etc),to raise animals,to feed and clothe,support,the necessities of life",1
养老,丷,6,11131,vn,yǎng lǎo,"to provide for the elderly (family members),to enjoy a life in retirement",1
养老金,丷,7,10458,n,yǎng lǎo jīn,pension,1
养老院,丷,6,21201,n,yǎng lǎo yuàn,nursing home,1
养生,丷,7,27107,vn,yǎng shēng,"to maintain good health,to raise a child or animal,curing (of concrete etc)",1
养殖,丷,7,19446,vn,yǎng zhí,"to cultivate,cultivation,to further,to encourage",1
氧,气,7,5633,n,yǎng,oxygen (chemistry),1
氧气,气,6,8778,n,yǎng qì,oxygen,1
痒,疒,6,7367,a,yǎng,"variant of 痒,to itch,to tickle",2
样,木,6,1699,q,yàng,"manner,pattern,way,appearance,shape,classifier: kind, type",1
样本,木,7,5611,n,yàng běn,sample; specimen,1
样品,木,7,7037,n,yàng pǐn,sample; specimen,1
样式,木,5,14126,n,yàng shì,"type,style",1
样子,木,4,1140,n,yàng zi,"appearance,manner,pattern,model",1
妖怪,女,7,12672,n,yāo guài,"monster,devil",1
腰,⺼,5,3323,n,yāo,"waist,lower back,pocket,middle,loins",1
邀,辶,7,6695,v,yāo,"to invite,to request,to intercept,to solicit,to seek",1
邀请,辶,4,1683,v,yāo qǐng,"to invite,invitation",1
窑,穴,7,14714,g,yáo,"kiln,oven,coal pit,cave dwelling,(coll.) brothel",2
谣言,讠,7,8381,n,yáo yán,rumor,1
摇,扌,5,3118,v,Yáo,surname Yao,2
摇摆,扌,7,12557,v,yáo bǎi,"to sway,to wobble,to waver",1
摇滚,扌,7,5660,n,yáo gǔn,"rock 'n' roll (music),to rock,to fall off",1
摇晃,扌,7,13559,v,yáo huàng,to rock; to shake; to sway,1
摇篮,扌,7,14968,n,yáo lán,cradle,1
摇头,扌,5,6924,v,yáo tóu,to shake one's head,1
摇摇欲坠,扌,7,26421,v,yáo yáo yù zhuì,"tottering,on the verge of collapse",1
遥控,辶,7,11466,vn,yáo kòng,"to direct operations from a remote location,to remotely control",1
遥远,辶,6,6127,a,yáo yuǎn,"distant,remote",1
咬,口,5,2563,v,yǎo,"to bite,to nip",2
咬牙切齿,口,6,26671,l,yǎo yá qiè chǐ,(idiom) to gnash one's teeth; to fume with rage,1
药,艹,2,701,n,yào,"leaf of the iris,variant of 药",2
药材,艹,7,29493,n,yào cái,medicinal ingredient,1
药店,艹,2,9052,n,yào diàn,pharmacy,1
药方,艹,7,18652,n,yào fāng,prescription,1
药片,艹,2,19934,n,yào piàn,a (medicine) pill or tablet,1
药品,艹,5,3431,n,yào pǐn,"medicaments,medicine,drug",1
药水,艹,2,17705,n,Yào shuǐ,"Yaksu in North Korea, near the border with Liaoning and Jiling province",2
药物,艹,5,1991,n,yào wù,"medicaments,pharmaceuticals,medication,medicine,drug",1
要,覀,1,19,v,yāo,(bound form) to demand; to coerce,2
要不,覀,5,3885,c,yào bù,"otherwise,or else,how about...?,either... (or...)",1
要不然,覀,6,7865,c,yào bù rán,"otherwise,or else,or",1
要不是,覀,5,14653,c,yào bu shì,"if it were not for,but for",1
要点,覀,6,9297,n,yào diǎn,"main point,essential",1
要害,覀,7,12297,n,yào hài,"vital part,(fig.) key point,crucial",1
要好,覀,7,11824,a,yào hǎo,"to be on good terms,to be close friends,striving for self-improvement",1
要紧,覀,7,10172,a,yào jǐn,"important,urgent",1
要领,覀,7,26676,n,yào lǐng,"main aspects,essentials,gist",1
要么,覀,6,2454,c,yào me,"or,either one or the other",1
要命,覀,7,7960,v,yào mìng,"to cause sb's death,extremely; terribly,(used in complaining about sth) to be a nuisance",1
要强,覀,7,25212,a,yào qiáng,"eager to excel,eager to get ahead in life,strong-minded",1
要求,覀,3,409,v,yāo qiú,"to request,to require,requirement,to stake a claim,to ask,to demand",1
要是,覀,4,1413,c,yào shi,(coll.) if,1
要素,覀,6,10026,n,yào sù,"essential factor,key constituent",1
钥匙,钅,4,3354,n,yào shi,key,1
耀眼,羽,7,9264,a,yào yǎn,"to dazzle,dazzling",1
椰子,木,7,16865,n,yē zi,"a coconut palm,a coconut",1
也,乚,1,23,d,Yě,surname Ye,2
也好,乚,6,4579,y,yě hǎo,"that's fine,may as well,(reduplicated) regardless of whether ... or ...",1
也就是说,乚,7,3200,v,yě jiù shì shuō,"in other words,that is to say,so,thus",1
也许,乚,4,601,d,yě xǔ,"perhaps,maybe",1
野,里,6,2794,b,yě,old variant of 野,3
野餐,里,7,25267,n,yě cān,"picnic,to have a picnic",1
野炊,里,7,53428,v,yě chuī,"to cook a meal over a campfire (usu. for a group of people on an outing),cookout",1
野蛮,里,7,8048,a,yě mán,"barbarous,uncivilized",1
野生,里,6,8844,b,yě shēng,"wild,undomesticated",1
野兽,里,7,9614,n,yě shòu,"beast,wild animal",1
野外,里,6,10150,s,yě wài,"countryside,areas outside the city",1
野心,里,7,10351,n,yě xīn,"ambition,wild schemes,careerism",1
野营,里,7,25370,vn,yě yíng,"to camp,field lodgings",1
业,一,6,2831,g,Yè,surname Ye,2
业绩,一,7,8094,n,yè jì,"achievement,accomplishment,(in more recent usage) performance (of a business, employee etc),results",1
业务,一,5,2972,n,yè wù,"business,professional work,service",1
业余,一,5,5236,b,yè yú,"in one's spare time,outside working hours,amateur (historian etc)",1
叶子,口,4,10287,n,yè zi,"leaf,(slang) marijuana",1
页,页,3,2404,q,xié,head,2
夜,夕,4,1082,tg,yè,variant of 夜,2
夜班,夕,7,11872,n,yè bān,night shift,1
夜间,夕,5,6232,t,yè jiān,"nighttime,evening or night (e.g. classes)",1
夜里,夕,2,6459,t,yè li,"during the night,at night,nighttime",1
夜市,夕,5,29040,n,yè shì,night market,1
夜晚,夕,4,3559,t,yè wǎn,night,1
夜校,夕,7,24385,n,yè xiào,"evening school,night school",1
夜以继日,夕,7,28406,l,yè yǐ jì rì,night and day (idiom); continuous strenuous effort,1
夜总会,夕,7,11951,n,yè zǒng huì,"nightclub,nightspot",1
液晶,氵,7,15199,n,yè jīng,liquid crystal,1
液体,氵,6,6827,n,yè tǐ,liquid,1
爷爷,父,2,3099,n,yé ye,"(coll.) father's father,paternal grandfather",1
一,一,1,21,m,yī,"one,single,a (article),as soon as,entire; whole; all; throughout,""one"" radical in Chinese characters (Kangxi radical 1)",1
一把手,一,7,20084,n,yī bǎ shǒu,"working hand; member of a work team; participant,the boss (short form of 手)",1
一般,一,3,798,a,yī bān,"same,ordinary,so-so,common,general,generally,in general",1
一般来说,一,4,9210,v,yī bān lái shuō,generally speaking,1
一半,一,1,1554,m,yī bàn,half,1
一辈子,一,6,2335,mq,yī bèi zi,(for) a lifetime,1
一边,一,3,1241,d,yī biān,"one side,either side,on the one hand,on the other hand,doing while",1
一不小心,一,7,14161,l,yī bù xiǎo xīn,to be a little bit careless; to have a moment of inattentiveness,1
一部分,一,2,4346,m,yī bù fen,"portion,part of,subset",1
一成不变,一,7,19445,v,yī chéng bù biàn,(idiom) immutable; impervious to change; set in stone,1
一筹莫展,一,7,31915,v,yī chóu mò zhǎn,"to be unable to find a solution,to be at wits' end",1
一次性,一,5,7116,b,yī cì xìng,"one-off (offer),one-time,single-use,disposable (goods)",1
一大早,一,7,7571,t,yī dà zǎo,"at dawn,at first light,first thing in the morning",1
一代,一,5,9102,n,yī dài,generation,1
一带,一,6,6591,n,yī dài,"region,district",1
一旦,一,5,1323,d,yī dàn,"in case (sth happens),if,once (sth happens, then...),when,in a short time,in one day",1
一道,一,6,8613,d,yī dào,together,1
一点点,一,2,20631,t,yī diǎn diǎn,a little bit,1
一点儿,一,1,6921,mq,yī diǎn r,"erhua variant of 一点,a bit; a little bit,(used in negative expressions) (not) the least bit,(after an adjective",1
一定,一,3,198,d,yī dìng,"surely,certainly,necessarily,fixed,a certain (extent etc),given,particular,must",1
一动不动,一,7,16188,l,yī dòng bù dòng,motionless,1
一度,一,7,8225,d,yī dù,"for a time,at one time,one time,once",1
一帆风顺,一,6,17562,v,yī fān fēng shùn,"propitious wind throughout the journey (idiom),plain sailing,to go smoothly,have a nice trip!",1
一番,一,6,3681,mq,yì fān,Some,1
一方面,一,3,7572,c,yī fāng miàn,on the one hand,1
一概,一,7,23649,d,yī gài,"all,without any exceptions,categorically",1
一概而论,一,7,47671,v,yī gài ér lùn,to lump different matters together (idiom),1
一干二净,一,7,23050,l,yī gān èr jìng,"thoroughly (idiom),completely,one and all,very clean",1
一个劲儿,一,7,35871,,yī gè jìn r,"erhua variant of 一个劲,continuously",1
一共,一,3,4765,d,yī gòng,altogether,1
一鼓作气,一,7,34580,v,yī gǔ zuò qì,in a spurt of energy,1
一贯,一,6,7299,d,yī guàn,"consistent,constant,from start to finish,all along,persistent",1
一锅粥,一,7,43564,l,yī guō zhōu,"(lit.) a pot of porridge,(fig.) a complete mess",1
一晃,一,7,26016,v,yī huǎng,"(of passing time) in an instant,(of a sight) in a flash",1
一回事,一,7,12272,,yī huí shì,"one and the same (thing),one thing (as distinct from another)",1
一会儿,一,2,2207,mq,yī huì r,"a moment,a while,in a moment,now...now...,also pr. [yī huǐ r]",1
一技之长,一,7,36099,l,yī jì zhī cháng,"proficiency in a particular field (idiom),skill in a specialized area (idiom)",1
一家人,一,7,16475,n,yī jiā rén,"household,the whole family",1
一经,一,7,19599,d,yī jīng,"as soon as,once (an action has been completed)",1
一举,一,7,12406,d,yī jǔ,"a move,an action,in one move,at a stroke,in one go",1
一举两得,一,7,30782,v,yī jǔ liǎng dé,"one move, two gains (idiom); two birds with one stone",1
一举一动,一,7,13650,l,yī jǔ yī dòng,every movement; each and every move,1
一句话,一,5,2843,,yī jù huà,"in a word,in short",1
一卡通,一,7,1000000,,Yī kǎ tōng,the name of various contactless smart cards,1
一口气,一,6,12928,d,yī kǒu qì,"one breath,in one breath,at a stretch",1
一块儿,一,3,11449,d,yī kuài r,"erhua variant of 一块,a piece; a chunk,(coll.) one yuan; one dollar",1
一揽子,一,7,27919,l,yī lǎn zi,"all-inclusive,undiscriminating",1
一连,一,7,18593,d,yī lián,"in a row,in succession,running",1
一连串,一,7,11835,l,yī lián chuàn,"a succession of,a series of",1
一流,一,6,5035,b,yī liú,"top quality,front ranking",1
一路,一,5,2451,mq,yī lù,"the whole journey,all the way,going the same way,going in the same direction,of the same kind",1
一路平安,一,2,32899,,yī lù píng ān,"to have a pleasant journey,Bon voyage!",1
一路上,一,6,9985,,yī lù shàng,"along the way,the whole way,(fig.) the whole time",1
一路顺风,一,5,17523,v,yī lù shùn fēng,to have a pleasant journey (idiom),1
一律,一,6,13897,d,yī lǜ,"same,uniformly,all,without exception",1
一毛不拔,一,7,75450,,yī máo bù bá,stingy (idiom),1
一面,一,7,2535,n,yī miàn,"one side,one aspect,simultaneously... (and...),one's whole face",1
一模一样,一,6,8179,l,yī mú yī yàng,"exactly the same (idiom),carbon copy,also pr. [yī mó yī yàng]",1
一目了然,一,7,18968,v,yī mù liǎo rán,obvious at a glance (idiom),2
一年到头,一,7,37724,l,yī nián dào tóu,all year round,1
一旁,一,7,7919,f,yī páng,"aside,to the side of",1
一齐,一,7,13522,d,yī qí,"at the same time,simultaneously",1
一起,一,2,172,s,yī qǐ,"in the same place,together,with,altogether (in total)",1
一切,一,4,350,r,yī qiè,"everything,every,all",1
一如既往,一,7,9416,v,yī rú jì wǎng,"just as in the past (idiom); as before,continuing as always",1
一刹那,一,7,17189,t,yī chà nà,"a moment,an instant,in a flash",1
一身,一,6,8569,n,yī shēn,"whole body,from head to toe,single person,a suit of clothes",1
一生,一,4,1626,n,yī shēng,all one's life; throughout one's life,1
一声不吭,一,7,26480,l,yī shēng bù kēng,to not say a word,1
一时,一,6,3531,t,yī shí,"a period of time,a while,for a short while,temporary,momentary,at the same time",1
一事无成,一,7,22215,v,yī shì wú chéng,"to have achieved nothing,to be a total failure,to get nowhere",1
一手,一,7,7866,d,yī shǒu,"a skill,mastery of a trade,by oneself,without outside help",1
一瞬间,一,7,7348,t,yī shùn jiān,split second,1
一丝不苟,一,7,21385,v,yī sī bù gǒu,"not one thread loose (idiom); strictly according to the rules,meticulous,not one hair out of place",1
一塌糊涂,一,7,11014,l,yī tā hú tu,"muddled and completely collapsing (idiom); in an awful condition,complete shambles,a total mess",1
一体,一,7,7220,n,yī tǐ,"an integral whole,all concerned,everybody",1
一天到晚,一,7,15466,l,yī tiān dào wǎn,all day long; the whole day,1
一同,一,6,5754,d,yī tóng,together,1
一头,一,7,9187,mq,yī tóu,"one head,a head full of sth,one end (of a stick),one side,headlong,directly,rapidly,simultaneously",1
一味,一,7,21515,d,yī wèi,"blindly,invariably",1
