simplified,radical,level,frequency,pos,pinyin,meanings,count
花纹,艹,7,14786,n,huā wén,decorative design,1
花样,艹,7,6638,n,huā yàng,"pattern,way of doing sth,trick,ruse,fancy-style (as in 花样滑冰 figure skating)",1
花园,艹,3,3403,n,huā yuán,garden,1
哗变,口,7,62759,v,huá biàn,"mutiny,rebellion",1
哗然,口,7,33564,z,huá rán,"in uproar,commotion,causing a storm of protest,tumultuous",2
华丽,十,7,6294,a,huá lì,gorgeous,1
华侨,十,7,40806,n,Huá qiáo,"overseas Chinese,(in a restricted sense) Chinese emigrant who still retains Chinese nationality",1
华人,十,7,14189,n,Huá rén,ethnic Chinese person or people,1
华裔,十,7,23110,n,Huá yì,"ethnic Chinese,non-Chinese citizen of Chinese ancestry",1
华语,十,5,13368,,Huá yǔ,Chinese language,1
滑,氵,5,2639,v,Huá,surname Hua,2
滑冰,氵,6,11501,vn,huá bīng,"to skate,skating",1
滑稽,氵,7,10569,a,huá jī,"comical; funny; amusing (old pr. [gǔ jī]),huaji, a form of comedy performance popular in Shanghai, Jiangsu and Zhejiang",1
滑梯,氵,7,31034,n,huá tī,"(children's) sliding board,a slide",1
滑雪,氵,6,7323,vn,huá xuě,"to ski,skiing",1
化,匕,5,2027,v,huā,variant of 花,2
化肥,匕,7,19371,n,huà féi,fertilizer,1
化解,匕,7,12188,v,huà jiě,"to dissolve,to resolve (contradictions),to dispel (doubts),to iron out (difficulties),to defuse (conflicts)",1
化身,匕,7,10558,n,huà shēn,"incarnation,reincarnation,embodiment (of abstract idea),personification",1
化石,匕,6,14429,n,huà shí,fossil,1
化纤,匕,7,35059,n,huà xiān,synthetic fiber,1
化险为夷,匕,7,35462,v,huà xiǎn wéi yí,to turn peril into safety (idiom); to avert disaster,1
化学,匕,5,3282,n,huà xué,"chemistry,chemical",1
化验,匕,7,9962,v,huà yàn,"chemical examination,to do a lab test",1
化妆,匕,6,4444,v,huà zhuāng,to put on makeup,1
划,刂,5,2993,v,huá,"to row,to paddle,profitable,worth (the effort),it pays (to do sth)",3
划船,刂,3,21694,v,huá chuán,"to row a boat,rowing boat,rowing (sport)",1
划分,刂,6,10875,v,huà fēn,"to divide up,to partition,to differentiate",1
划时代,刂,7,32601,b,huà shí dài,epoch-marking,1
划算,刂,7,12808,a,huá suàn,"to calculate,to weigh (pros and cons),to view as profitable,worthwhile,value for money,cost-effective",1
画,田,2,1119,n,huà,"to draw; to paint,picture; painting,to draw (a line) (variant of 划),stroke of a Chinese character (variant of 划)",1
画册,田,7,22582,n,huà cè,picture album,1
画儿,田,2,69994,,huà r,"picture,drawing,painting",1
画家,田,3,7217,n,huà jiā,painter,1
画龙点睛,田,7,46401,v,huà lóng diǎn jīng,to paint a dragon and dot in the eyes (idiom); fig. to add the vital finishing touch,1
画面,田,5,3453,n,huà miàn,"scene,tableau,picture,image,screen (displayed by a computer),(motion picture) frame,field of view",1
画蛇添足,田,7,47111,l,huà shé tiān zú,"lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous,to overdo it",1
画展,田,7,20576,n,huà zhǎn,art exhibition,1
话,讠,1,157,n,huà,"dialect,language,spoken words,speech,talk,words,conversation,what sb said",2
话费,讠,5,23912,n,huà fèi,call charge,1
话剧,讠,4,11486,n,huà jù,"stage play,modern drama",1
话题,讠,5,2557,n,huà tí,"subject (of a talk or conversation),topic",1
话筒,讠,6,12761,n,huà tǒng,"microphone,(telephone) receiver,handset",1
话语,讠,7,7946,n,huà yǔ,"words,speech,utterance,discourse",1
怀抱,忄,7,9613,n,huái bào,"to hug,to cherish,within the bosom (of the family),to embrace (also fig. an ideal, aspiration etc)",1
